한국어	일본어	영어
그녀는 너무 긴장해서 손이 떨렸다.	彼女は緊張のあまり、手が震えた。	Her hands trembled with nervousness.
모닥불에 손을 쬐니 따뜻해졌다.	焚き火に手をかざすと、暖かくなった。	I held my hand over the bonfire and it warmed up.
손가락을 펴 보세요.	指を伸ばしてみてください。	Please stretch out your fingers.
약지가 검지보다 길군요.	薬指が人差し指より長いですね。	The ring finger is longer than the index finger.
손가락으로 달을 가리키고 있는데, 왜 손가락을 보고 있는 거야?	指で月を指しているのに、なんで指を見てるの？	You're pointing at the moon with your fingers. Why are you looking at your fingers?
사람을 손가락질하지 마!	人を指差すな！	Don't point your finger at people!
급행은 2번선, 특급은 3번선입니다.	急行は2番線、特急は3番線です。	The express line is number 2 and the limited express line is number 3.
여기에서는 지하철 정기권을 살 수있습니다.	ここでは地下鉄の定期券が買えます。	You can buy a commuter pass for the subway here.
치타는 육상 동물 중에서 가장 빠르다.	チーターは陸上の動物の中で一番速い。	Cheetahs are the fastest animals on land.
출발 72시간 전까지 항공 회사에 전화해 주세요.	出発の72時間前までに航空会社に電話してください。	Please call the airline at least 72 hours before departure.
남성의 평균 수명도 점점 늘고 있다.	男性の平均寿命もだんだん延びている。	The average life expectancy of men is also increasing.
지금이라도 비가 내리기 시작할 것 같은 하늘 모습입니다.	今にも雨が降り出しそうなそら模様です。	It looks like it's about to rain.
오전 10시 이후는 연장 요금을 받습 니다.	午前10時以降はえんちょう料金をいただきます。	You will be charged the encho fee after ten o'clock in the morning.
선수들은 감독을 헹가래 쳤다.	選手たちは監督をどうあげした。	The players tossed the coach in the air.
최근 예의범절이 바르지 못한 아이가 늘었다.	最近ぎょうぎの悪い子供が増えてきた。	Recently, the number of awkward children has increased.
남성이 어린애를 목말 태워주고 있습니다.	男性が子供を肩車しています。	A man is carrying a child on his shoulders.
자연과 일체가 되려고 하는 것이 목적이었다.	自然と一体になろうとすることが目的だった。	The purpose was to become one with nature.
반드시 10분 전에 집합해 주세요.	必ず10分前に集合してください。	Be sure to get together 10 minutes in advance.
일을 한다는 구실로 해외로 놀러 가는 회사원이 많다.	仕事をするという口実で海外へ遊びに行く会社員が多い。	Many office workers go abroad under the pretext of working.
조사를 하겠으니, 짐을 열어 주세요.	調査をしますから、荷物を開いてください。	I'll do some research, so please open your luggage.
여기는 역의 대합실입니다.	ここは駅の待合室です。	This is the waiting room at the station.
혼자서 지내는 노인이 늘고 있습 니다.	一人で暮らす老人が増えています。	The number of elderly people living alone is increasing.
홋카이도에서는 첫눈이 내렸대요.	北海道では初雪が降ったそうですよ。	It snowed for the first time in Hokkaido.
계속되는 철야로 매우 피곤했다.	続く徹夜でとても疲れた。	I was very tired from the continuous vigil.
혈액형을 검사하기 위해서 피를 조금 뽑았다.	血液型を検査するために血を少し採った。	I drew some blood to check my blood type.
낭비는 일절 하지 않고 돈을 모았습 니다.	無駄遣いは一切せずお金を貯めました。	I saved money without wasting any money.
신주쿠 구 2가에서 오후 8시쯤 방화로 보여지는 화재가 발생했습니다.	新宿区2丁目で午後8時頃、放火と見られる火災が発生しました。	Around eight o'clock in the afternoon at 2nd Street in Shinjuku Ward, a fire appeared to be arson.
대학에서 국제 경제와 비즈니스를 공부할 생각입니다.	大学で国際経済とビジネスを勉強するつもりです。	I am thinking of studying international economics and business in college.
부장님이 부자인 것은 이전부터 알고 있습니다.	部長が金持ちであることは以前から知っています。	I've known for a long time that the manager is rich.
요금은 서비스 요금 포함, 세금 별도 입니다.	料金はサービス料込、税別です。	The fee is included in the service fee and tax is not included.
8년간의 유학을 끝마치고 내일 일본을 떠난다.	8年間の留学を終えて、あす日本を発つ。	After finishing studying abroad for 8 years, I am leaving Japan tomorrow.
당신에게 가장 소중한 것은 무엇입니까?	あなたにとって、一番大切なものは何ですか。	What is the most precious thing to you?
가벼운 인사라도 느낌이 좋은 인사가 있다.	軽い会釈でも感じのいいお辞儀がある。	There is a greeting that feels good even if it is a light greeting.
가타카나는 외국에서 전해져 온 말을 일본어 문자로 나타낸 것을 말한다.	カタカナ語は外国から伝わってきた言葉を日本語文字で表したものをいう。	Katakana refers to the expression of words from abroad in Japanese characters.
조금이라도 좋은 문장을 쓰기 위해서 여러 가지로 궁리한다.	少しでもいい文章を書くためにいろいろと工夫する。	I think about it in many ways to write a good sentence.
저녁 식사는 어른 2,000엔, 초등학생 이하 1,000엔으로 준비해드립니다.	夕食は大人2,000円、小学生以下1,000円でご準備いたします。	Dinner will be prepared for 2,000 yen for adults and 1,000 yen for elementary school children and younger.
도서관에서 수다를 떠는 것은 좋지 않습니다.	図書館でおしゃべりすることはよくありません。	It's not good to chat in the library.
인생을 배우기 위해 사회에 나갔다.	人生を学ぶために、社会に出た。	I went to society to learn life.
정면 입구 앞 안내소에 데리고 가다.	正面入口前の案内所につれていく。	take someone to the information desk in front of the front entrance.
사람 몸의 온도를 체온이라고 합니다.	人の体の温度を体温と言います。	The temperature of the human body is called body temperature.
좌석 정원제에 협조해 주세요.	座席定員制にご協力ください。	Please cooperate with the seating quota system.
전화가 아니라 직접 와 주세요.	電話ではなく直接来てください。	Please come in person, not on the phone.
일부러 아들 결혼식에 와 주셔서 정말로 고마웠습니다.	わざわざ息子の結婚式においでくださり、誠にありがとうございました。	Thank you very much for coming to my son's wedding on purpose.
자동차는 여기에서 일단 정지하지 않으면 안 됩니다.	車はここでいったん停止しなければいけません。	The car has to stop here for now.
내 차가 트럭 뒤에 추돌했다.	私の車がトラックの後ろに追突した。	My car crashed into the back of the truck.
운명을 좌우하는 것은 IQ도 성격도 아니다.	運命を左右するのはIQでも性格でもない。	It is neither IQ nor character that determines fate.
마을 사람들은 도로 공사에 반대 했다.	地元の人々は道路工事に反対した。	The villagers opposed the road work.
물을 연료로 해서 달릴 수 있는 차가 개발되었다.	水を燃料として走れる車が開発された。	A car that can run with water as fuel has been developed.
두통 때문에 학교에 갈 수 없었다.	頭痛のために学校に行けなかった。	I couldn't go to school because of a headache.
이번 달을 마지막으로 회사를 그만 두겠습니다.	今月いっぱいで会社をやめます。	I'll be out of the office by the end of this month.
식사요법과 운동요법을 함께 사용함으로써 다이어트 효과를 높인다.	食事療法と運動療法を合わせて用いることでダイエット効果を高める。	Using diet therapy and exercise therapy together increases the effectiveness of dieting.
혈압이 높아서 건강에 조심하고 있다.	血圧が高くて、健康に気をつけている。	I'm taking care of my health because my blood pressure is high.
기무라 씨의 생일은 지난 1월 30일 이었다.	木村さんの誕生日は去る1月30日だった。	Kimura's birthday was on Jan. 30.
이제 와서 목표를 변경할 수는 없다.	今さら、目標を変更するわけにはいかない。	You can't change your goal now.
국민의 정치에 대한 무관심이 눈에 띈다.	国民の政治への無関心さが目立つ。	The people's indifference to politics stands out.
이 약은 습기를 피해서 보관해 주세요.	この薬は湿気をさけて保管してください。	Please keep this medicine away from moisture.
반환된 사전은 두 가지 기원의 언어를 결합한다.	返却された辞書は、2つの起源の言語を組み合わせています。	The dictionary returned combines languages from two origins.
API 요청에 오류가 있을 때.	API要求にエラーが発生した場合。	When there’s an error with the API request.
Pull Request를 통해 이 목록에 새로운 조합을 자유롭게 추가할 수 있습니다!	PullRequestで新しい組み合わせをこのリストに自由に追加してください！	Feel free to add new combinations to this list via a Pull Request!
이렇게 하는 라이브러리는 꽤 많습니다. 파일 같은 개체에 'hello'를 입력하여 추가 조작을 수행합니다.	このようにするライブラリはかなり多いです。 ファイルのようなオブジェクトに'hello'を入力して追加操作を実行します。	There’s quite a few libraries that do this. Write ‘hello’ to a file-like object to do further manipulation
음악 생성에 대한 기존 연구는 작곡에 중점을 두지만, 종종 결과 작품의 그럴듯한 연출에 필요한 표현적 성능 특성을 무시한다.	音楽生成に関する既存の研究は作曲に焦点を当てているが、結果的な作品のもっともらしい演奏に必要な表現的な特性を無視する場合が多い。	Existing research on music generation focuses on composition, but often ignores the expressive performance characteristics required for plausible renditions of resultant pieces.
데이터 세트와 함께, 우리는 장치의 오디오 프로세서를 에뮬레이트하여 생성된 구성을 NES 스타일 오디오로 렌더링하는 도구를 제공한다.	データセットとともに、デバイスのオーディオプロセッサをエミュレートすることにより、生成された合成をNESスタイルオーディオとしてレンダリングするツールを提供します。	Alongside the dataset, we provide a tool that renders generated compositions as NESstyle audio by emulating the device’s audio processor.
음악의 한 곡이 주어지면, 숙련된 연주자는 표현적인 특징들로 그 곡을 장식할 것이며, 매력적인 표현을 전달하기 위해 타이밍과 역학을 바꿀 것이다.	熟練した演奏者は、音楽の一部分を表現的な特徴で装飾し、タイミングとダイナミクスを変えて説得力のある演奏をする。	Given a piece of a music, a skilled performer will embellish the piece with expressive characteristics, altering the timing and dynamics to deliver a compelling rendition.
다중 악기 음악의 대부분의 기존 데이터 세트는 억제되지 않은 다성음악을 가지고 있어 분리된 악보 표현이 부적절하다.	既存のマルチ·インストゥルメンタル·ミュージックのほとんどのデータセットは、無制限のポリフォニーを持っており、分離されたスコア表現が不適切である。	Most existing datasets of multi-instrumental music have uninhibited polyphony, causing a separated score representation to be inappropriate.
표 2에서 우리는 NESMDB의 표현적 점수의 각 시간 단계에서 기기 상태의 차원을 보여준다.	表2では、NESMDBの表現スコアの各時間ステップにおける計測器の状態の次元を示している。	In Table 2, we show the dimensionality of the instrument states at each timestep of an expressive score in NESMDB.
원시 형태에서 NES 게임용 음악은 카트리지의 읽기 전용 메모리에 존재하는 기계 코드로서 게임 로직의 나머지 부분과 얽혀 있다.	生の形態では、NESゲーム用の音楽は、ゲームロジックの他の部分と絡み合い、カートリッジの読み取り専用メモリに常駐するマシンコードとして存在する。	In raw form, music for NES games exists as machine code living in the read-only memory of cartridges, entangled with the rest of the game logic.
우리는 지리적으로 복제된 서버리스 플랫폼을 통해 인식되지 않는 프록시 및 대상을 배포하여 측정을 수행한다.	地理的に複製されたサーバレスプラットフォームを使用して、気付かないプロキシとターゲットを導入することによって測定を行います。	Weperform measurements by deploying the oblivious proxies and targets through geo-replicated serverless platforms.
이방성 메쉬 적응의 첫 번째 나사형 구현.	異方性メッシュ適応の最初のネジ式実装。	The first threaded implementation of anisotropic mesh adaptation.
메시 최적화의 각 스위프에 대한 최대 독립 세트 선택을 위한 알고리즘.	メッシュ最適化の各スイープの最大独立セットを選択するためのアルゴリズム。	Algorithms for selection of maximal independent sets for each sweep of mesh optimisation.
지연된 업데이트를 사용하여 데이터 경합을 방지하고 메시 데이터 구조에 대한 업데이트를 병렬화합니다.	データ競合を回避し、メッシュデータ構造への更新を並列化するために、遅延アップデートを使用します。	Use of deferred update to avoid data contention and to parallelise updates to mesh data structures.
이에 대한 해결책은 적절한 로컬 오류 추정치를 계산하고 이 정보를 사용하여 로컬 메시 해상도 요구 사항을 지정하는 메시의 필드를 계산하는 것입니다.	解決策は、適切なローカルエラー推定値を計算し、この情報を使用して、ローカルメッシュ解決要件を指定するメッシュ上のフィールドを計算することです。	A solution to this is to compute appropriate local error estimates, and use this information to compute a field on the mesh which specifies the local mesh resolution requirement.
솔루션 오류가 허용할 수 없을 정도로 클 수 있습니다.	ソリューションエラーが許容できないほど高い場合があります。	Solution errors may be unacceptably high.
솔루션 이산화 오류는 요소의 크기 및 모양과 밀접한 관련이 있습니다.	解の離散化エラーは、要素のサイズと形状に密接に関連しています。	Solution discretisation errors are closely related to the size and the shape of the elements.
조잡화는 메쉬 요소를 제거하여 국소적으로 메쉬 해상도를 낮추는 과정으로 계산 비용이 절감된다.	粗大化は、メッシュ要素を除去し、局所的にメッシュ解像度を下げ、計算コストの削減につながるプロセスです。	Coarsening is the process of lowering mesh resolution locally by removing mesh elements, leading to a reduction in the computational cost.
플러그인이 언로드되기 전에 플러그인 개체가 삭제되기 직전에 호출됩니다.	プラグインがアンロードされる前に、プラグインオブジェクトが削除される直前に呼び出されます。	Called before the plugin is unloaded, right before the plugin object is destroyed.
플러그인 DLL이 로드되고 플러그인 개체가 생성된 후 바로 호출됩니다.	プラグインDLLがロードされ、プラグインオブジェクトが作成された後、すぐに呼び出されます。	Called right after the plugin DLL has been loaded and the plugin object has been created.
언리얼 Engine에서 제공하는 도구를 사용하면 최신 프로젝트를 표시하기 위한 작은 실시간 환경에서 최대의 몰입감을 이끌어내도록 디자인된 대규모 오픈월드 게임 수준까지 깜짝 놀랄 인터랙티브 월드를 만들 수 있습니다.	Unreal Engine が提供するツールを使えば、最新プロタクトを表示するための小さなリアルタイム環境から、最大の没入感を引き出すようにデザインされた大規模なオープン ワールドのゲーム レベルまで、あっと驚くインタラクティブなワールドを作成することができます。	With tools from Unreal Engine, you can create an incredibly interactive world from a small real-time environment to a large open-world gaming level designed to maximize your immersion.
아래의 토픽은 환경 디자인과 빌드에 도움이 됩니다.에디터로 빌드한 레벨에 라이트, 플롭, 폴리지 등을 활용해 보세요.	以下のトピックスは、環境のデザインとビルドに役立ちます。エディタでビルドしたレベルに、ライト、プロップ、フォリッジなどを活用してみましょう。	The following topics help you design and build your environment:Use lights, prop, for example, for the level you built in your editor.
이 페이지는 이하의 주제에 대한 지식이 있는 것을 전제로 하고 있습니다.	このページは以下のトピックへの知識があることを前提にしています。	This page assumes that you are familiar with the following topics:
우선 아래 토픽 내용에 대해 확인 부탁드립니다.	まず以下のトピックの内容についてご確認をお願いします。	First of all, please review the following topics.
이 가이드를 마치면 위의 사진과 같은 방이 완성됩니다.	このガイドを終了すると、上記の写真のような部屋ができあがります。	When you finish this guide, you will have a room similar to the one shown in the picture above.
이 튜토리얼을 수료하면 개발자는 다음을 습득합니다.	このチュートリアルを修了すると、デベロッパーは次のことを習得します。	Upon completion of this tutorial, developers will learn:
프로젝트 브라우저에서는 다양한 종류의 템플릿에서 프로젝트를 새로 만들거나 이전에 작성한 프로젝트나 다운로드한 샘플을 열 수 있습니다.그럼 신규 프로젝트를 작성해 볼까요?	プロジェクト ブラウザ では、さまざまな種類のテンプレートからプロジェクトを新規作成することや、以前に作成したプロジェクトやダウンロードしたサンプルを開くことができます。それでは新規プロジェクトを作成してみましょう。	In the Project Browser, you can create new projects from different types of templates and open previously created projects and downloaded samples.Now let's create a new project.
레벨 구축의 대부분을 뷰포트 내에서 실시합니다.	レベル構築のほとんどをビューポート内で行います。	Most of the level building is done in the viewport.
이러한 제어는 다른 키나 버튼을 누르지 않고 뷰포트를 클릭하여 드래그했을 때의 기본 동작입니다.	これらの制御は、他のキーやボタンを押さずにビューポートをクリックしてドラッグしたときのデフォルトの動作です。	These controls are the default behavior when you click and drag a viewport without pressing any other keys or buttons.
그리고 이것들은 정투영 뷰포트의 이동에 사용할 수 있는 유일한 제어이기도 합니다.	そしてこれらは、正投影ビューポートの移動に使用できる唯一の制御でもあります。	These are also the only controls that can be used to move orthogonal viewports.
카메라 초점을 선택한 개체에 맞춥니다.이것은 카메라의 텀블링을 최대한 활용하기 위해 필수적입니다.	カメラの焦点を選択したオブジェクトに合わせます。これは、カメラのタンブリングを最大限に活用するために不可欠となります。	Focalizes the camera to the selected object.This is essential to getting the most out of camera tumbling
이러한 제어는 모두 퍼스펙티브 뷰 포트에서만 유효합니다.	これらの制御はすべてパースペクティブ ビューポートでのみ有効です。	All of these controls are valid only for perspective viewports.
기본적으로 WASD의 게임 스타일 제어를 사용하려면 RMB를 계속 눌러야 합니다.	デフォルトで WASD のゲーム スタイル 制御を使用するには、RMB を押し続ける必要があります。	To use WASD game style control by default, you must press and hold RMB.
다음으로 게임 환경을 구축하기 위해 사용할 신규 레벨을 작성합니다.	次に、ゲーム環境を構築するために使用する新規レベル を作成します。	Then create a new level to use to build your gaming environment.
Box를 왼쪽 클릭하여 레벨 뷰 포트로 드래그합니다.	Box を 左クリック して レベル ビューポート にドラッグします。	Left-click the box and drag it to the Level viewport.
이것을 플레이어가 돌아다닐 수 있는 플로어로 사용합니다.	これを、プレイヤーが歩き回ることができるフロアとして使用します。	Use this as a floor where players can walk around.
라이트, 플롭, 벽, 지붕을 추가해 보겠습니다.	ライト、プロップ、壁、屋根を追加してみます。	Try adding lights, prop, walls, and roof.
다른 액터를 여러 레벨 내에 배치하면 다음 단계로 액터의 속성을 편집하여 레벨 내 액터의 겉모습과 기능을 변경함으로써 레벨을 자신의 취향에 가깝게 만들 수 있습니다.	異なる アクタ をいくつかレベル内に配置したら、次のステップとして アクタのプロパティを編集 することで、レベル内でのアクタの見かけや機能を変更することで、レベルを自分の好みに近づけることができます。	Once you have placed several different actors within the level, the next step is to edit the properties of the actor, so that you can bring the level closer to your preference by changing the appearance and functionality of the actor within the level.
먼저 Directional Light 액터의 속성을 편집하는 것으로 시작하고, 그 후에 레벨 내에 배치한 Static Mesh 액터의 몇 가지에 물질을 적용하는 것으로 넘어갑니다.	まず Directional Light アクタ のプロパティを編集することから始め、その後に、レベル内に配置した Static Mesh アクタ のいくつかに マテリアル を適用することに移ります。	Start by editing the properties of the Directional Light Actor, and then apply the material to some of the Static Mesh actors that you have placed in the level.
뷰포트에 있는 Directional Light 액터를 왼쪽 클릭하여 선택합니다.	ビューポートにある Directional Light アクタ を 左クリック して選択します。	Left-click to select the Directional Light actor in the viewport.
그런 다음 배치한 Static Mesh 액터의 재료 중 하나를 변경합니다.	次に、配置した Static Mesh アクタ のいずれかの マテリアル を変更します。	Then change the material for one of the Static Mesh actors that you deployed.
팝업창에서 M_Brick_Clay_New 머티리얼을 선택합니다.	ポップアップ ウィンドウで M_Brick_Clay_New マテリアルを選択します。	In the pop-up window, select M_Brick_Clay_New material.
라이트의 Light Color를 변경해보면 레벨에서 더 많은 소재가 적용되거나 액터의 스케일이 변화하기도 합니다.	ライトの Light Color を変更してみると、レベルでより多くの マテリアル が適用されたり、アクタの スケール が変化したりします。	Changing the light color of the light causes more material to be applied at the level or the scale of the actor to change.
이 단계에서는 모든 레벨을 빌드하는 빌드 프로세스에 대해 설명합니다.	このステップでは、すべてのレベルをビルドする ビルド プロセスについて説明します。	This step describes the build process that builds all levels.
이걸 선택하면 최고 품질의 글쓰기가 되는데 계산 시간이 가장 길어지고 게임 빌드에 걸리는 시간도 길어집니다.	これを選択すると、最高品質のライティングになりますが、計算時間が最も長くなり、ゲームの ビルド にかかる時間も長くなります。	If you choose this, you will get the highest quality lighting, but you will have the longest computational time and the longest time it takes to build the game.
이 수준은 작기 때문에 큰 영향은 없지만, 대규모 레벨을 다루고 있는 경우에는 레벨 작성 시 이 설정을 중저 수준으로 유지하고 레벨의 '최종 경로' 단계에서 'Production'으로 전환하는 것이 좋습니다.	このレベルは小さいのでそれほど影響はありませんが、大規模なレベルを扱っている場合は、レベルの作成時はこの設定を中低レベルのままにし、レベルの「最終パス」の段階で [Production] に切り替えることをお勧めします。	This level is small and does not have much impact, but if you are dealing with a large level, it is recommended that you leave this setting at the medium and low level when creating the level and switch to Production at the "last path" stage of the level.
이 가이드에서 설명한 방법에 따라 다음을 각자 해보세요.	このガイドで説明した方法に従って、次のことを各自でやってみてください。	Follow the instructions in this guide to do the following on your own:
